,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed,longitude
365,sept-iles,20,CA,1674492941,77,50.2001,22.05,3.44,-66.3821
366,takoradi,52,GH,1674492691,71,4.8845,83.82,10.94,-1.7554
367,saintes,68,FR,1674492724,77,45.6667,38.95,9.91,-0.75
368,bjornevatn,0,NO,1674492941,80,69.6672,31.62,33.38,29.9847
369,havre,100,FR,1674492779,87,49.5833,38.19,4.61,0.3333
370,gisborne,90,NZ,1674492942,85,-38.6533,57.49,3.76,178.0042
371,tomelloso,65,ES,1674492875,49,39.1522,41.52,11.5,-3.0243
372,ixtapa,19,MX,1674492942,74,20.7,77.23,1.99,-105.2
373,sorland,86,NO,1674492943,75,67.667,39.06,29.97,12.6934
374,mahebourg,75,MU,1674492943,88,-20.4081,77.29,1.14,57.7
375,oranjemund,3,NA,1674492944,81,-28.55,66.49,13.11,16.4333
376,karanganom,93,ID,1674492944,90,-7.6489,74.43,2.04,110.625
377,nova olimpia,44,BR,1674492944,52,-14.7972,90.05,7.43,-57.2881
378,valkeala,100,FI,1674492944,100,60.9401,24.31,6.91,26.7979
379,rapid city,77,US,1674492944,56,44.0805,37.11,5.99,-103.231
380,adre,76,TD,1674492944,10,13.4667,77.85,10.02,22.2
381,launceston,42,AU,1674492945,90,-41.45,56.34,0.0,147.1667
382,dusi,90,IN,1674492945,79,12.7667,73.78,5.61,79.6833
383,kupang,20,ID,1674492945,88,-10.1667,77.58,2.3,123.5833
384,veraval,1,IN,1674492945,47,20.9,64.69,14.54,70.3667
385,kirkuk,0,IQ,1674492946,40,35.4681,51.8,8.21,44.3922
386,czersk,10,PL,1674492956,89,53.7959,30.45,3.4,17.9765
387,matagami,100,CA,1674492956,86,49.7502,21.31,9.22,-77.6328
388,itoman,100,JP,1674492956,79,26.1247,68.02,17.27,127.6694
389,pitimbu,27,BR,1674492956,70,-7.4706,88.39,11.61,-34.8086
390,katete,98,UG,1674492957,56,-0.7818,68.32,3.96,29.7544
391,kavieng,98,PG,1674492957,81,-2.5744,81.21,15.43,150.7967
392,listvyanskiy,100,RU,1674492957,95,54.4399,12.96,9.04,83.4984
393,rocha,1,UY,1674492957,32,-34.4833,84.34,17.83,-54.3333
394,marrakesh,20,MA,1674492763,39,31.6315,64.47,5.75,-8.0083
395,mezhdurechensk,100,RU,1674492958,95,53.6942,13.44,6.46,88.0603
396,tutoia,100,BR,1674492958,78,-2.7619,81.37,9.64,-42.2744
397,sakakah,0,SA,1674492959,55,29.9697,58.57,10.29,40.2064
398,lipari,16,IT,1674492959,49,38.4674,49.32,5.88,14.954
399,vagur,100,FO,1674492905,96,61.4732,45.46,16.67,-6.8119
400,rabo de peixe,75,PT,1674492959,72,37.8,58.51,20.71,-25.5833
401,olafsvik,95,IS,1674492959,73,64.8945,33.22,9.89,-23.7142
402,kitimat,99,CA,1674492960,30,54.0524,35.98,1.01,-128.6534
403,humberto de campos,85,BR,1674492960,73,-2.5983,83.19,8.25,-43.4611
404,labuhan,96,ID,1674492960,82,-6.8844,78.48,4.56,112.2051
405,santa marta,20,CO,1674492961,58,11.2408,87.85,6.91,-74.199
406,semnan,7,IR,1674492936,49,35.5729,34.07,3.91,53.3971
407,kirakira,99,SB,1674492961,84,-10.4544,77.76,4.68,161.9205
408,jumla,98,NP,1674492961,37,29.2747,36.36,4.45,82.1838
409,tornio,100,FI,1674492671,87,65.8481,30.22,12.55,24.1466
410,sandakan,20,MY,1674492961,94,5.8402,76.68,7.0,118.1179
411,aksarka,20,RU,1674492962,100,66.5606,-5.1,3.31,67.7975
412,xudat,8,AZ,1674492962,79,41.631,37.67,9.46,48.681
413,faanui,98,PF,1674492962,74,-16.4833,78.58,14.58,-151.75
414,birao,71,CF,1674492962,11,10.2849,82.35,5.39,22.7882
415,acapulco,0,MX,1674492963,53,16.8634,82.17,2.91,-99.8901
416,zaoyang,99,CN,1674492963,18,32.1272,34.48,16.51,112.7542
417,ransang,100,PH,1674492964,83,8.9603,78.48,8.93,117.5828
418,dzaoudzi,75,YT,1674492964,83,-12.7887,80.49,11.5,45.2699
419,bilma,3,NE,1674492964,11,18.6853,75.67,3.56,12.9164
420,senanga,93,ZM,1674492964,90,-16.1167,67.41,1.52,23.2667
421,kondinskoye,17,RU,1674492964,96,59.6481,5.52,7.31,67.41
422,acala,60,MX,1674492964,57,16.5667,82.44,3.11,-92.8
423,kirkwall,100,GB,1674492964,87,58.9848,49.96,10.36,-2.9587
424,fort nelson,100,CA,1674492964,96,58.8053,17.19,3.44,-122.7002
425,sabha,0,LY,1674492965,16,27.0377,61.43,6.35,14.4283
426,pellerd,100,HU,1674492965,93,46.0344,43.65,12.66,18.154
427,gafanha da encarnacao,5,PT,1674492966,51,40.6181,55.78,7.02,-8.733
428,bardiyah,0,LY,1674492966,67,31.7561,59.92,6.51,25.0865
429,san antonio,40,US,1674492966,41,29.4241,56.12,9.22,-98.4936
430,sovetskaya,1,RU,1674492966,68,44.7769,36.99,15.86,41.1722
431,paamiut,99,GL,1674492966,66,61.994,19.8,14.63,-49.6678
432,kokopo,100,PG,1674492966,83,-4.352,76.96,0.85,152.2633
433,anadyr,0,RU,1674492692,71,64.75,-5.3,6.71,177.4833
434,srednekolymsk,100,RU,1674492756,96,67.45,-24.77,2.08,153.6833
435,ambanja,100,MG,1674492966,95,-13.6833,74.95,2.93,48.45
436,dubbo,23,AU,1674492967,82,-32.25,66.33,11.5,148.6167
437,prince george,0,CA,1674492967,90,53.9166,27.84,18.41,-122.753
438,malihabad,54,IN,1674492967,55,26.9167,66.11,2.86,80.7167
439,kloulklubed,100,PW,1674492967,83,7.0419,80.26,15.28,134.2556
440,shahr-e babak,54,IR,1674492967,55,30.1165,33.58,5.35,55.1186
441,shushenskoye,100,RU,1674492967,85,53.325,7.54,7.29,91.9356
442,eureka,4,US,1674492708,62,40.8021,36.79,5.26,-124.1637
443,bontang,86,ID,1674492967,88,0.1333,77.43,3.76,117.5
444,ardakan,14,IR,1674492967,41,32.31,39.42,2.84,54.0175
445,kaduna,100,NG,1674492968,10,10.5222,87.4,5.3,7.4383
446,poum,98,NC,1674492968,81,-20.2333,79.99,6.91,164.0167
447,lakatoro,100,VU,1674492968,80,-16.0999,80.31,6.58,167.4164
448,ayagoz,100,KZ,1674492968,83,47.9714,5.27,4.97,80.4392
449,marienburg,11,PL,1674492968,83,54.0359,37.04,4.61,19.0266
450,hirara,88,JP,1674492968,77,24.8,69.21,23.15,125.2833
451,westport,100,US,1674492968,89,41.1415,40.32,6.91,-73.3579
452,laguna,0,US,1674492969,51,38.421,48.63,12.66,-121.4238
453,sambava,100,MG,1674492969,86,-14.2667,77.97,7.85,50.1667
454,kidal,0,ML,1674492969,8,18.4411,87.71,6.35,1.4078
455,cintalapa,93,MX,1674492970,65,16.6951,76.5,6.58,-93.7272
456,pisco,0,PE,1674492970,57,-13.7,78.85,6.91,-76.2167
457,akhmeta,1,GE,1674492970,75,42.0311,34.32,0.49,45.2075
458,ancud,99,CL,1674492970,80,-41.8697,63.21,18.43,-73.8203
459,neiafu,20,TO,1674492971,94,-18.65,74.08,0.0,-173.9833
460,yerbabuena,1,MX,1674492971,39,20.9667,63.55,8.81,-101.2667
461,tura,63,IN,1674492971,56,25.5198,59.43,4.7,90.2201
462,port hawkesbury,100,CA,1674492721,99,45.6169,40.91,13.0,-61.3485
463,colares,0,PT,1674492971,45,38.7992,58.89,21.99,-9.4469
464,manado,20,ID,1674492971,94,1.487,75.97,2.3,124.8455
465,lavrentiya,24,RU,1674492971,96,65.5833,-17.99,12.17,-171.0
466,harper,87,LR,1674492972,74,4.375,82.4,8.23,-7.7169
467,hudson bay,74,CA,1674492972,91,52.85,6.12,3.06,-102.3842
468,mecca,0,SA,1674492881,60,21.4267,76.46,7.18,39.8261
469,olean,100,US,1674492972,84,42.0776,32.95,10.83,-78.4297
470,nanakuli,20,US,1674492972,88,21.3906,75.15,3.44,-158.1547
471,katsuura,100,JP,1674492972,86,35.1333,45.86,12.21,140.3
472,le port,100,RE,1674492972,85,-20.9373,75.2,7.9,55.2919
473,kampene,72,CD,1674492973,89,-3.6,71.11,2.73,26.6667
474,cayenne,100,GF,1674492973,69,4.9333,82.44,17.27,-52.3333
475,nelson bay,53,AU,1674492973,98,-32.7167,70.0,3.0,152.15
476,puerto escondido,0,MX,1674492973,54,15.85,82.85,4.47,-97.0667
477,rio grande,33,BR,1674492958,48,-32.035,98.71,12.77,-52.0986
478,samfya,91,ZM,1674492973,85,-11.3649,66.87,6.78,29.5565
479,port augusta,15,AU,1674492973,60,-32.5,71.46,7.18,137.7667
480,port hardy,75,CA,1674492973,93,50.6996,39.38,6.91,-127.4199
481,noyabrsk,93,RU,1674492807,97,63.1994,-10.5,8.7,75.4507
482,vila do maio,1,CV,1674492974,65,15.1333,77.79,14.34,-23.2167
483,puerto baquerizo moreno,40,EC,1674492974,74,-0.9,79.79,5.75,-89.6
484,koster,5,ZA,1674492974,24,-25.863,73.8,8.08,26.8976
485,salta,75,AR,1674492959,61,-24.7859,77.59,3.44,-65.4117
486,alpine,0,US,1674492975,43,32.835,48.94,3.0,-116.7664
487,portland,100,US,1674492838,95,45.5234,40.64,1.99,-122.6762
488,barstow,0,US,1674492975,33,34.8986,40.15,8.95,-117.0228
489,sayyan,4,YE,1674492976,46,15.1718,56.44,0.4,44.3244
490,vila,58,PT,1674492976,56,42.0304,41.88,5.12,-8.1588
491,jutai,91,BR,1674492976,88,-5.1833,79.84,3.18,-68.9
492,melito di porto salvo,17,IT,1674492976,66,37.9222,54.23,8.05,15.7714
493,slave lake,100,CA,1674492976,100,55.2834,21.18,4.61,-114.769
494,mangalam,59,IN,1674492976,81,9.7667,75.78,8.77,78.6667
495,anloga,10,GH,1674492976,75,5.7947,83.12,14.45,0.8973
496,iracoubo,52,GF,1674492976,72,5.4802,80.2,13.09,-53.2011
497,shubarkuduk,55,KZ,1674492976,81,49.1447,5.94,4.5,56.4872
498,namie,100,JP,1674492977,78,37.4833,32.72,3.69,141.0
499,mayo,100,US,1674492977,78,38.8876,45.1,13.8,-76.5119
500,linfen,9,CN,1674492977,25,36.0889,18.05,11.95,111.5189
501,karratha,26,AU,1674492977,65,-20.7377,82.62,7.31,116.8463
502,olhao,0,PT,1674492977,60,37.0286,59.09,8.05,-7.8411
503,quatre cocos,100,MU,1674492977,87,-20.2078,77.11,6.06,57.7625
504,shahrud,1,IR,1674492977,63,36.4182,27.73,6.51,54.9763
505,kalemie,65,CD,1674492977,86,-5.9475,71.01,6.46,29.1947
506,newport,65,GB,1674492802,84,51.5877,41.11,1.36,-2.9984
507,panama,27,PA,1674492978,56,9.0,88.79,8.55,-80.0
508,gogrial,31,SS,1674492978,13,8.5332,85.66,5.17,28.1004
509,whitianga,100,NZ,1674492978,88,-36.8333,63.59,6.71,175.7
510,asau,9,RO,1674492978,88,46.4333,29.32,3.71,26.4
511,surt,9,LY,1674492978,70,31.2089,60.33,9.89,16.5887
512,constitucion,7,CL,1674492978,60,-35.3333,70.11,10.94,-72.4167
513,kuytun,100,RU,1674492979,89,54.3419,-15.68,10.45,101.5036
514,dubovka,6,RU,1674492979,79,49.0583,23.95,8.16,44.829
515,hofn,20,IS,1674492980,59,64.2539,30.22,2.3,-15.2082
516,impfondo,69,CG,1674492980,24,1.6381,85.84,2.86,18.0667
517,abu kamal,1,SY,1674492981,39,34.4506,55.87,3.56,40.9171
518,tomatlan,5,MX,1674492981,52,19.9333,79.63,3.78,-105.25
519,half moon bay,0,US,1674492981,46,37.4636,54.32,3.44,-122.4286
520,lago da pedra,98,BR,1674492981,76,-4.3333,83.12,4.0,-45.1667
521,arinos,100,BR,1674492982,79,-15.9169,77.23,1.23,-46.1056
522,enid,40,US,1674492982,76,36.3956,38.88,3.0,-97.8784
523,ous,81,RU,1674492982,91,60.9058,12.83,4.81,61.5186
524,kunzell,88,DE,1674492982,88,50.5442,33.87,5.99,9.7179
525,waipawa,29,NZ,1674492982,87,-41.4122,49.82,1.3,175.5153
526,pangai,3,TO,1674492982,72,-19.8,80.94,8.05,-174.35
527,touros,22,BR,1674492982,61,-5.1989,86.22,14.54,-35.4608
528,randudongkal,99,ID,1674492983,93,-7.0981,74.3,2.8,109.3243
529,aksu,100,CN,1674492691,86,41.1231,7.5,2.68,80.2644
530,adwa,51,ET,1674492983,23,14.1646,69.71,4.43,38.8955
531,goure,45,NE,1674492719,11,13.9835,81.54,7.81,10.2704
532,badarganj,11,BD,1674492983,47,25.674,65.23,6.02,89.0549
533,shiyan,93,CN,1674492983,14,32.6475,32.13,15.3,110.7781
534,udankudi,100,IN,1674492983,78,8.4333,78.62,16.11,78.0167
535,gaozhou,79,CN,1674492984,73,21.9392,62.65,12.01,110.8461
536,myanaung,5,MM,1674492984,36,18.2833,68.88,6.64,95.3167
537,deputatskiy,90,RU,1674492984,100,69.3,-28.79,1.7,139.9
538,vuktyl,99,RU,1674492984,95,63.8567,16.57,7.27,57.3094
539,rio gallegos,75,AR,1674492984,34,-51.6226,68.05,18.41,-69.2181
540,san patricio,7,US,1674492984,45,28.017,62.69,18.23,-97.5169
541,ust-omchug,99,RU,1674492985,98,61.15,-30.41,5.59,149.6333
542,molln,100,DE,1674492832,83,53.6333,37.33,3.44,10.6833
543,pochutla,0,MX,1674492985,45,15.7432,85.82,5.06,-96.4661
544,glens falls,100,US,1674492985,94,43.3095,35.29,8.05,-73.644
545,wanaka,38,NZ,1674492985,74,-44.7,49.1,1.01,169.15
546,jacmel,9,HT,1674492985,47,18.2342,85.84,7.05,-72.5347
547,abha,0,SA,1674492780,82,18.2164,57.02,8.05,42.5053
548,bara,83,NG,1674492986,13,10.3744,89.38,7.14,10.7288
549,san juan,0,AR,1674492986,21,-31.5375,96.51,13.44,-68.5364
550,verkhnyaya sinyachikha,59,RU,1674492986,95,57.976,11.57,5.77,61.6673
551,owando,100,CG,1674492986,56,-0.4819,80.69,2.06,15.8999
552,boysun,87,UZ,1674492986,84,38.2061,21.51,4.29,67.1986
553,merauke,85,ID,1674492986,90,-8.4667,77.16,6.91,140.3333
554,atar,0,MR,1674492987,10,20.5169,84.13,5.82,-13.0499
555,hutchinson,73,US,1674492987,69,38.0608,32.74,8.81,-97.9298
556,mancora,10,PE,1674492987,60,-4.1078,81.19,10.0,-81.0475
557,la ronge,100,CA,1674492988,78,55.1001,7.05,2.3,-105.2842
558,oum hadjer,100,TD,1674492988,11,13.2954,85.71,9.13,19.6966
559,umba,98,RU,1674492988,85,66.6871,22.66,14.45,34.3429
560,chumikan,99,RU,1674492988,86,54.7183,-25.06,9.62,135.315
561,bougouni,1,ML,1674492988,12,11.417,96.85,1.21,-7.479
562,fairbanks,100,US,1674492962,76,64.8378,-8.39,0.0,-147.7164
563,birjand,0,IR,1674492902,40,32.8663,32.47,4.61,59.2211
564,bouar,50,CF,1674492989,17,5.934,81.64,6.42,15.596
565,huarmey,85,PE,1674492989,73,-10.0681,74.08,6.91,-78.1522
566,victor harbor,93,AU,1674492989,91,-35.5667,63.0,3.13,138.6167
567,tocopilla,62,CL,1674492989,75,-22.092,74.07,7.52,-70.1979
568,charters towers,48,AU,1674492989,87,-20.1,71.92,8.63,146.2667
569,caravelas,100,BR,1674492990,66,-17.7125,85.08,9.64,-39.2481
570,byron bay,4,AU,1674492990,86,-28.65,67.71,3.87,153.6167
571,ust-kulom,92,RU,1674492990,95,61.6864,12.09,5.64,53.6902
572,wajir,40,KE,1674492774,28,1.7471,94.96,11.5,40.0573
573,iguape,75,BR,1674492991,71,-24.7081,83.37,10.94,-47.5553
574,les cayes,6,HT,1674492991,57,18.2,82.54,15.59,-73.75
575,coruripe,41,BR,1674492991,60,-10.1256,85.87,13.94,-36.1756
576,ondjiva,40,AO,1674492991,57,-17.0667,80.64,6.91,15.7333
577,prince rupert,100,CA,1674492774,93,54.3161,44.29,31.07,-130.3201
578,moron,0,AR,1674492991,39,-34.6534,92.95,5.61,-58.6198
579,carutapera,100,BR,1674492991,90,-1.195,78.13,8.34,-46.02
580,qui nhon,12,VN,1674492991,92,13.7667,72.32,8.95,109.2333
581,kalmunai,98,LK,1674492992,87,7.4167,76.42,7.7,81.8167
582,shelburne,93,CA,1674492992,94,44.0787,30.76,9.69,-80.2041
583,togul,100,RU,1674492993,95,53.465,12.02,10.2,85.9128
584,luang prabang,5,LA,1674492993,58,19.8856,62.85,0.72,102.1347
585,tigzirt,100,DZ,1674492993,75,36.8886,45.52,2.39,4.1198
