,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed,longitude
305,boudry,75,CH,1674492930,93,46.9499,32.25,14.97,6.8376
306,costinesti,52,RO,1674492930,76,43.95,33.04,13.67,28.6333
307,ruza,10,RU,1674492930,96,55.699,21.63,3.71,36.1952
308,buraydah,58,SA,1674492686,44,26.326,66.65,12.33,43.975
309,barcelos,26,PT,1674492930,56,41.5388,53.69,4.68,-8.6151
310,maceio,40,BR,1674492837,66,-9.6658,87.24,12.66,-35.7353
311,koslan,40,RU,1674492682,93,63.4564,13.05,8.01,48.8989
312,makakilo city,20,US,1674492931,89,21.3469,73.72,3.44,-158.0858
313,vardo,0,NO,1674492931,80,70.3705,30.18,26.46,31.1107
314,fortuna,0,US,1674492931,100,40.5982,38.98,0.0,-124.1573
315,thongwa,11,MM,1674492931,37,16.7619,77.16,8.08,96.5278
316,vila franca do campo,78,PT,1674492931,78,37.7167,59.41,14.67,-25.4333
317,bethel,100,US,1674492931,86,41.3712,38.93,4.0,-73.414
318,talnakh,44,RU,1674492931,93,69.4865,-26.81,1.66,88.3972
319,comandau,4,RO,1674492931,89,45.7667,29.86,5.84,26.2667
320,riyadh,60,SA,1674492932,51,24.6877,62.74,7.0,46.7219
321,leh,9,IN,1674492932,58,34.1667,0.7,3.02,77.5833
322,puerto suarez,75,BO,1674492932,58,-18.95,90.16,9.22,-57.8
323,putyatino,92,RU,1674492932,90,54.16,17.96,5.5,41.1169
324,mocajuba,70,BR,1674492932,62,-2.5842,86.2,4.27,-49.5072
325,bitkine,98,TD,1674492932,13,11.9801,84.85,7.92,18.2138
326,aasiaat,100,GL,1674492932,98,68.7098,0.64,4.88,-52.8699
327,dashitou,93,CN,1674492932,81,43.3067,-17.66,9.57,128.5114
328,enshi,99,CN,1674492932,79,30.3,39.9,3.04,109.4833
329,rawson,0,AR,1674492932,30,-43.3002,85.1,25.72,-65.1023
330,rexburg,100,US,1674492933,92,43.826,13.51,0.0,-111.7897
331,fort-de-france,75,MQ,1674492933,74,14.6089,82.35,18.41,-61.0733
332,bachatskiy,100,RU,1674492933,92,54.2927,10.6,10.56,86.1285
333,maniitsoq,100,GL,1674492933,95,65.4167,24.87,8.97,-52.9
334,komsomolskiy,82,UZ,1674492933,68,40.4272,25.47,2.53,71.7189
335,sibolga,100,ID,1674492933,96,1.7427,74.43,4.34,98.7792
336,pangnirtung,20,CA,1674492933,69,66.1451,-20.2,2.3,-65.7125
337,zapolyarnyy,91,RU,1674492933,86,69.4154,29.48,25.39,30.8136
338,dioknisi,0,GE,1674492934,62,41.6293,32.88,5.01,42.3917
339,aklavik,100,CA,1674492934,84,68.2191,-7.6,13.8,-135.0107
340,svetlyy,7,RU,1674492934,83,54.675,30.25,5.28,20.1347
341,goderich,100,CA,1674492934,86,43.7501,34.92,3.44,-81.7165
342,berbera,91,SO,1674492934,69,10.4396,75.45,9.08,45.0143
343,foumban,21,CM,1674492794,18,5.7291,80.91,2.04,10.9001
344,gornyak,100,RU,1674492935,70,50.9942,8.98,17.56,81.4661
345,kuito,100,AO,1674492935,85,-12.3833,61.41,8.08,16.9333
346,raga,22,SS,1674492935,13,8.4596,80.17,4.32,25.678
347,sitka,100,US,1674492935,81,57.0531,44.49,9.22,-135.33
348,kapoeta,50,SS,1674492936,22,4.7717,90.39,7.09,33.5903
349,lompoc,1,US,1674492936,66,34.6391,50.85,5.99,-120.4579
350,romny,48,UA,1674492937,70,50.751,28.99,8.39,33.4747
351,cherskiy,100,RU,1674492937,94,68.75,-18.44,3.87,161.3
352,waddan,0,LY,1674492937,26,29.1614,58.59,8.37,16.139
353,bud,75,US,1674492938,87,39.447,33.06,8.86,-86.1758
354,mitsamiouli,100,KM,1674492938,76,-11.3847,79.43,15.1,43.2844
355,guangyuan,89,CN,1674492938,25,32.442,32.65,10.0,105.823
356,mocuba,100,MZ,1674492938,88,-16.8392,76.33,1.5,36.9856
357,bagamoyo,100,TZ,1674492939,81,-6.4333,84.18,6.46,38.9
358,ust-maya,100,RU,1674492939,98,60.4167,-40.59,1.99,134.5333
359,sardhana,81,IN,1674492940,50,29.15,57.65,5.06,77.6167
360,garden city,88,US,1674492940,83,42.3256,33.89,1.01,-83.331
361,te anau,17,NZ,1674492940,95,-45.4167,41.18,1.95,167.7167
362,rundu,98,NA,1674492940,58,-17.9333,75.87,6.51,19.7667
363,rennes,20,FR,1674492654,81,48.1667,40.57,9.22,-1.6667
364,lac du bonnet,97,CA,1674492940,92,50.2536,20.37,9.71,-96.0612
